element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Th,1,"=""461.502404""","=""0.000017""","=""740""","=""""",,"=""6362.395980""","=""28024.68756""","=""6d3.(4F).7s""","=""5F""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L5951""",
Xe,2,"=""461.506""","=""""","=""100h""","=""""",,"=""131923.79""","=""153585.71""","=""5s2.5p4.(1D<2>).6p""","=""2[2]*""","=""3/2""","=""5s2.5p4.(1D<2>).6d""","=""2[3]""","=""5/2""",,"=""""","=""L6925""",
La,1,"=""461.507""","=""""","=""23""","=""""",,"=""7231.407""","=""28893.51""","=""5d2.(3P).6s""","=""4P""","=""1/2""","=""4f.5d.(3D*).6s""","=""4D*""","=""1/2""",,"=""""","=""L3475""",
Th,1,"=""461.50811""","=""0.00006""","=""23""","=""""",,"=""20566.62381""","=""42228.6417""","=""6d2.7s.7p""","=""5D*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L5951""",
Kr,2,"=""461.52915""","=""""","=""500""","=""5.4e+07""",D,"=""118474.359""","=""140135.395""","=""4s2.4p4.(3P).5s""","=""2P""","=""3/2""","=""4s2.4p4.(3P).5p""","=""2P*""","=""3/2""",,"=""T3408""","=""L605""",
In,2,"=""461.5310""","=""0.0021""","=""200""","=""""",,"=""123642.95""","=""145303.91""","=""5s.4f""","=""3F*""","=""2""","=""5s<1/2,F=5>.8g""","=""""","=""""",E2,"=""""","=""L3548c128""",
Th,1,"=""461.533407""","=""0.000013""","=""830""","=""""",,"=""3865.473772""","=""25526.31045""","=""6d2.7s2""","=""3P""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L18702""",
Sm,2,"=""461.544""","=""""","=""290""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Xe,2,"=""461.550""","=""""","=""200*""","=""""",,"=""131923.79""","=""153584.09""","=""5s2.5p4.(1D<2>).6p""","=""2[2]*""","=""3/2""","=""5s2.5p4.(1D<2>).6d""","=""2[1]""","=""3/2""",,"=""""","=""L6925""",
Xe,2,"=""461.550""","=""""","=""200*""","=""""",,"=""108007.28""","=""129667.35""","=""5s2.5p4.(3P<0>).5d""","=""2[2]""","=""5/2""","=""5s2.5p4.(1D<2>).6p""","=""2[1]*""","=""3/2""",,"=""""","=""L6925""",
Fe,1,"=""461.55623""","=""0.00017""","=""138""","=""""",,"=""36940.590""","=""58600.344""","=""3d7.(2F).4s""","=""d 3F""","=""2""","=""3d6.(3H).4s.4p.(1P*)""","=""3G*""","=""3""",,"=""""","=""L11631""",
Ne,2,"=""461.5563""","=""0.0010""","=""22w""","=""""",,"=""281171.3566""","=""302831.176""","=""2s2.2p4.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p4.(3P<2>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L1406""",
Th,1,"=""461.56707""","=""0.00005""","=""43""","=""""",,"=""12114.36618""","=""33773.6219""","=""5f.6d.7s2""","=""1D*""","=""2""","=""""","=""""","=""1""",,"=""""","=""L5951""",
Sm,2,"=""461.569""","=""""","=""470""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ag,1,"=""461.569""","=""""","=""30w""","=""""",,"=""58504.586""","=""80164.0""","=""4d9.5s.(3D).5p""","=""4P*""","=""3/2""","=""4d9.5s.(3D).6s""","=""4D""","=""5/2""",,"=""""","=""L3326""",
Pm,2,"=""461.587""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""u8""",
Th,1,"=""461.58838""","=""0.00004""","=""87""","=""""",,"=""19039.153374""","=""40697.4116""","=""6d.7s2.7p""","=""3P*""","=""2""","=""""","=""""","=""2 or 3""",,"=""""","=""L5951""",
Tb,2,"=""461.592""","=""""","=""45w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
