element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Th,1,"=""398.40953""","=""0.00005""","=""398.409500""","=""0.000010""","=""210""","=""""",,"=""15490.077832""","=""40582.7840""","=""5f.6d.7s2""","=""3G*""","=""5""","=""""","=""""","=""5""",,"=""""","=""L5951""",
W,2,"=""398.41203""","=""""","=""398.41188""","=""0.00019""","=""7""","=""""",,"=""31347.087""","=""56439.643""","=""5d5""","=""2I""","=""13/2""","=""5d4.(3H).6p""","=""4H*""","=""13/2""",,"=""""","=""L11762""",
Mn,1,"=""""","=""""","=""398.4177""","=""""","=""""","=""2.3e+06""",E,"=""25281.04""","=""50373.23""","=""3d5.4s2""","=""a 4G""","=""5/2""","=""3d5.(4G).4s.4p.(3P*)""","=""y 4F*""","=""5/2""",,"=""T1117""","=""""",
Dy,2,"=""398.421""","=""""","=""""","=""""","=""800""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Mg,1,"=""398.4212""","=""""","=""398.4213""","=""""","=""1""","=""""",,"=""35051.264""","=""60143.23""","=""3s.3p""","=""1P*""","=""1""","=""3s.10s""","=""1S""","=""0""",,"=""""","=""L6095""",
Fe,3,"=""398.425""","=""0.003""","=""398.4228""","=""0.0014""","=""83h""","=""2.8e+06""",D,"=""188955.71""","=""214047.58""","=""3d5.(4D).4d""","=""3G""","=""3""","=""3d5.(2I).5p""","=""3H*""","=""4""",,"=""u44""","=""L1171""",
Ne,1,"=""398.4253""","=""0.0020""","=""398.4252""","=""0.0013""","=""70""","=""""",,"=""148257.7898""","=""173349.51""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
Cs,2,"=""398.4268""","=""0.0003""","=""398.4269""","=""0.0005""","=""20""","=""""",,"=""155758.1267""","=""180849.74""","=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""0""",,"=""""","=""L12126""",
Ti,1,"=""398.43145""","=""0.00019""","=""398.43136""","=""0.00005""","=""43*""","=""""",,"=""16961.442""","=""42052.7717""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d2.4s.(4F).4d""","=""e 5D""","=""3""",,"=""""","=""L10989""",
Ti,1,"=""398.43145""","=""0.00019""","=""398.43208""","=""0.00013""","=""43*""","=""""",,"=""20006.039""","=""45097.323""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""3d2.4s.(2D).5s""","=""3D""","=""2""",,"=""""","=""L10989""",
V,1,"=""398.4329""","=""0.0002""","=""398.43291""","=""0.00005""","=""190000""","=""""",,"=""14909.958""","=""40001.190""","=""3d4.(3H).4s""","=""a 4H""","=""7/2""","=""3d4.(3H).4p""","=""u 4G*""","=""7/2""",,"=""""","=""L15916""",
Cr,1,"=""398.43318""","=""0.00003""","=""398.433171""","=""0.000021""","=""130""","=""""",,"=""20523.6290""","=""45614.8444""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d5.(4G).4p""","=""y 5H*""","=""4""",,"=""""","=""L14866""",
Th,2,"=""398.43756""","=""0.00005""","=""398.437531""","=""0.000005""","=""100""","=""""",,"=""6168.35582""","=""31259.2967""","=""5f.6d.(3H*).7s""","=""4H*""","=""7/2""","=""5f.6d.(3F*).7p""","=""""","=""5/2""",,"=""""","=""L5951""",
