element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
V,1,"=""377.57071""","=""0.00015""","=""377.57069""","=""0.00010""","=""130000""","=""""",,"=""18680.070""","=""45157.655""","=""3d3.(4F).4s.4p.(3P*)""","=""z 6F*""","=""11/2""","=""3d3.4s.(5F).4d""","=""g 6D""","=""9/2""",,"=""""","=""L15916""",
Tl,1,"=""377.572""","=""""","=""377.572+""","=""""","=""12000w""","=""6.25e+07""",B,"=""0.0""","=""26477.5""","=""6s2.6p""","=""2P*""","=""1/2""","=""6s2.7s""","=""2S""","=""1/2""",,"=""T4515""","=""L3475""",
Rh,1,"=""377.572""","=""""","=""377.5713""","=""""","=""70""","=""""",,"=""16017.94""","=""42495.48""","=""4d8.(1G).5s""","=""a 2G""","=""9/2""","=""""","=""14*""","=""7/2""",,"=""""","=""L3475""",
Cm,1,"=""377.575""","=""""","=""""","=""""","=""10000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3587""",
Fe,1,"=""377.58539""","=""0.00011""","=""377.58537""","=""0.00003""","=""1150""","=""3.38e+05""",C+,"=""21999.130""","=""48475.686""","=""3d7.(2G).4s""","=""a 3G""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""y 5H*""","=""3""",,"=""T5720""","=""L11631""",
Th,2,"=""377.59026""","=""0.00004""","=""377.590257""","=""0.000020""","=""170""","=""""",,"=""14349.3888""","=""40825.6020""","=""6d3""","=""4P""","=""1/2""","=""6d2.(3F).7p""","=""4D*""","=""1/2""",,"=""""","=""L5951""",
Ba,3,"=""377.5928""","=""0.0020""","=""377.5939""","=""0.0009""","=""16""","=""""",,"=""153054.62""","=""179530.58""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""",,"=""""","=""L3667""",
Th,1,"=""377.59371""","=""0.00014""","=""377.594111""","=""0.000010""","=""41""","=""""",,"=""11802.93238""","=""38278.8753""","=""6d3.(4P).7s""","=""5P""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L3552""",
Ti,2,"=""377.60533""","=""0.00003""","=""377.605341""","=""0.000014""","=""107""","=""6.58e+06""",B+,"=""12758.2597""","=""39233.4153""","=""3d3""","=""b 2D2""","=""5/2""","=""3d2.(1D).4p""","=""z 2P*""","=""3/2""",,"=""T7385""","=""u37""",
Fe,3,"=""377.6133""","=""0.0020""","=""377.6124""","=""0.0007""","=""5.6""","=""""",,"=""90423.78""","=""116898.44""","=""3d5.(4F).4s""","=""3F""","=""2""","=""3d5.(4G).4p""","=""5F*""","=""2""",,"=""""","=""L1171""",
Hg,2,"=""377.6141""","=""0.0003""","=""377.61416""","=""0.00024""","=""6000h""","=""2.6e+07""",,"=""106086.013""","=""132560.550""","=""5d9.6s.6p""","=""(2D<5/2>,1P<1>)*""","=""3/2""","=""5d10.9s""","=""2S""","=""1/2""",,"=""T7226""","=""L11760""",
V,1,"=""377.6145""","=""0.0010""","=""377.611839""","=""0.000020""","=""140000""","=""""",,"=""15770.789""","=""42245.489&dagger;""","=""3d4.(3F2).4s""","=""b 4F""","=""9/2""","=""3d3.(4P).4s.4p.(1P*)""","=""r 4D*""","=""7/2""",,"=""""","=""L4235""",
Cr,1,"=""377.617""","=""0.004""","=""377.61735""","=""0.00006""","=""8wl""","=""""",,"=""21856.9287""","=""48331.242""","=""3d5.(4P).4s""","=""a 5P""","=""1""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 3P*""","=""1""",,"=""""","=""L808""",
Os,1,"=""377.625""","=""""","=""""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""377.627100""","=""0.000016""","=""377.627092""","=""0.000006""","=""1800""","=""""",,"=""8800.249723""","=""35273.8804""","=""6d3.(4F).7s""","=""5F""","=""4""","=""6d3.7p""","=""5G*""","=""5""",,"=""""","=""L5951""",
Mn,1,"=""""","=""""","=""377.6301""","=""""","=""""","=""5.0e+06""",E,"=""41031.48""","=""67504.90""","=""3d6.(3G).4s""","=""a 2G""","=""9/2""","=""3d6.(1I).4p""","=""w 2H*""","=""11/2""",,"=""T1117""","=""""",
Xe,3,"=""377.632""","=""0.005""","=""377.6290+""","=""""","=""24""","=""""",,"=""151482.43""","=""177955.93""","=""5s2.5p3.(2P*).6s""","=""3P*""","=""1""","=""5s2.5p3.(2P*).6p""","=""3D""","=""2""",,"=""""","=""L10579""",
Nd,2,"=""377.634""","=""""","=""377.63316+""","=""""","=""250""","=""""",,"=""10794.290""","=""37267.495""","=""4f3.(4I*).5d (5K*).6s""","=""6L*""","=""13/2""","=""4f3.5d.6p""","=""6L""","=""15/2""",,"=""""","=""L3475""",
Pt,1,"=""377.64251""","=""0.00020""","=""377.64247""","=""0.00013""","=""56""","=""""",,"=""41802.733""","=""68275.286""","=""5d8.6s.(2D).6p""","=""a 3D*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L11529""",
Fe,1,"=""377.64545""","=""0.00004""","=""377.645447""","=""0.000020""","=""21400""","=""1.67e+06""",C+,"=""17550.181""","=""44022.525""","=""3d7.(4P).4s""","=""a 5P""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""4""",,"=""T5720""","=""L11631""",
U,1,"=""377.648""","=""""","=""""","=""""","=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Tb,2,"=""377.649""","=""""","=""377.64886+""","=""""","=""2100""","=""""",,"=""3440.825""","=""29912.930""","=""4f8.(7F).5d (8G).6s""","=""""","=""6""","=""4f8.5d.6p?""","=""*""","=""6""",,"=""""","=""L3475""",
Th,1,"=""377.65038""","=""0.00004""","=""377.650375""","=""0.000006""","=""180""","=""""",,"=""8111.004545""","=""34583.0031""","=""6d2.7s2""","=""1G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Mn,1,"=""""","=""""","=""377.6534""","=""""","=""""","=""1.9e+05""",C,"=""17052.29""","=""43524.08""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d6.(5D).4p""","=""z 6F*""","=""7/2""",,"=""T3623n""","=""""",
Kr,3,"=""377.654""","=""""","=""377.6508+""","=""""","=""4""","=""""",,"=""149071.85""","=""175543.82""","=""4s2.4p3.(4S*).4d""","=""3D*""","=""1""","=""4s2.4p3.(4S*).5p""","=""5P""","=""1""",,"=""""","=""L7284""",
Y,2,"=""377.6556""","=""""","=""377.65573+""","=""""","=""1400""","=""2.4e+07""",D+,"=""1045.076""","=""27516.699""","=""4d.5s""","=""a 3D""","=""2""","=""4d.5p""","=""z 1P*""","=""1""",,"=""T4373""","=""L10987,L3475""",
Th,2,"=""377.66046""","=""0.00006""","=""377.66043""","=""0.00003""","=""59""","=""""",,"=""28026.3485""","=""54497.6426""","=""6d3""","=""2D1""","=""5/2""","=""6d.7s.(3D).7p""","=""*""","=""7/2""",,"=""""","=""L5951""",
Ce,2,"=""377.661""","=""""","=""377.66060+""","=""""","=""250""","=""1.00e+07""",B+,"=""3593.882""","=""30065.164""","=""4f.5d.(1G*).6s""","=""*""","=""9/2""","=""4f.5d.(3F*).6p""","=""""","=""7/2""",,"=""T8629""","=""L3475""",
Th,1,"=""377.66237""","=""0.00003""","=""377.662393""","=""0.000007""","=""330""","=""""",,"=""10414.13700""","=""36885.2932""","=""5f.6d.7s2""","=""1G*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L5951""",
W,1,"=""377.6634""","=""""","=""377.6643""","=""0.0010""","=""3w""","=""""",,"=""24789.66""","=""51260.68""","=""5d4.6s2""","=""1D2""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
Pu,1,"=""377.671""","=""""","=""""","=""""","=""10000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""u1""",
Th,1,"=""377.67320""","=""0.00014""","=""377.673526""","=""0.000006""","=""27""","=""""",,"=""9804.806547""","=""36275.1824""","=""6d3.(4F).7s""","=""5F""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L3552""",
Cr,1,"=""377.676""","=""0.004""","=""377.6734""","=""0.0016""","=""4h""","=""""",,"=""28682.2050""","=""55152.59""","=""3d5.(4D).4s""","=""a 3D""","=""2""","=""3d4.(3D).4s.4p.(3P*)""","=""v 3D*""","=""2""",,"=""""","=""L808""",
S,2,"=""377.6775""","=""0.0007""","=""377.6786""","=""0.0006""","=""240""","=""""",,"=""130134.158""","=""156604.179""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""","=""3s2.3p2.(3P).4d""","=""2F""","=""7/2""",,"=""""","=""L5883""",
Hf,1,"=""377.6780""","=""0.0010""","=""377.67785""","=""0.00003""","=""190""","=""""",,"=""8983.7652""","=""35453.8381""","=""5d2.6s2""","=""a 3P""","=""2""","=""5d2.(a 1G).6s.(a 2G).6p""","=""w 3F*""","=""3""",,"=""""","=""L16323""",
Gd,1,"=""377.683""","=""""","=""""","=""""","=""210""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
V,1,"=""377.68704""","=""0.00018""","=""377.68701""","=""0.00004""","=""48000""","=""9.6e+05""",B,"=""10892.520""","=""37361.951""","=""3d3.4s2""","=""a 2G""","=""7/2""","=""3d4.(3H).4p""","=""v 2G*""","=""9/2""",,"=""T9399""","=""L15916""",
Ne,2,"=""""","=""""","=""377.68818""","=""0.00005""","=""""","=""7.4e+05""",D,"=""252953.5198""","=""279422.869""","=""2s2.2p4.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p4.(3P).3d""","=""4D""","=""1/2""",,"=""T380""","=""""",
Cu,3,"=""377.697""","=""""","=""""","=""""","=""1000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2987""",
W,1,"=""377.6990""","=""""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Os,1,"=""377.699""","=""""","=""""","=""""","=""290""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Al,8,"=""""","=""""","=""377.7""","=""""","=""""","=""6.03e+06""",C+,"=""1504780""","=""1531250""","=""2s.2p2.(4P).3s""","=""3P""","=""1?""","=""2s.2p2.(4P).3p""","=""3S*?""","=""1?""",,"=""T5520c4,LS""","=""""",
Fe,5,"=""""","=""""","=""377.705""","=""0.014""","=""""","=""5.5e-05""",D+,"=""0.0""","=""26468.2""","=""3d4""","=""5D""","=""0""","=""3d4""","=""3P2""","=""2""",E2,"=""T9277""","=""L3453""",
Fe,1,"=""377.70663""","=""0.00011""","=""377.70659""","=""0.00003""","=""1740""","=""9.43e+05""",C+,"=""24118.819""","=""50586.878""","=""3d6.4s2""","=""b 3G""","=""4""","=""3d7.(2G).4p""","=""z 1F*""","=""3""",,"=""T5720""","=""L11631""",
Co,2,"=""377.70817""","=""0.00021""","=""377.70726""","=""0.00009""","=""760bl(Co I)""","=""""",,"=""85481.689""","=""111949.701""","=""3d7.(4F).5s""","=""e 3F""","=""4""","=""3d7.(4F<3/2>).4f""","=""2[7/2]*""","=""3""",,"=""""","=""L9429c118""",
Hf,1,"=""377.7100""","=""0.0010""","=""377.7095""","=""0.0003""","=""190""","=""""",,"=""25462.114""","=""51929.970""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5G*""","=""6""","=""""","=""5193""","=""5""",,"=""""","=""L16323""",
Ta,1,"=""377.7102""","=""""","=""377.7094+""","=""""","=""110""","=""""",,"=""17993.74""","=""44461.60""","=""""","=""179*""","=""5/2""","=""5d3.6s.(5F).7s""","=""e 4F""","=""5/2""",,"=""""","=""L7593,L3475""",
Ne,2,"=""377.713589""","=""0.000019""","=""377.713578""","=""0.000017""","=""200""","=""4.2e+07""",D,"=""219947.4453""","=""246415.0144""","=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p4.(3P).3p""","=""4P*""","=""3/2""",,"=""T867LS""","=""L5951""",
V,1,"=""377.7157""","=""0.0004""","=""377.71565""","=""0.00006""","=""23000""","=""8.0e+04""",C,"=""137.383""","=""26604.807&dagger;""","=""3d3.4s2""","=""a 4F""","=""5/2""","=""3d4.(5D).4p""","=""y 6D*""","=""7/2""",,"=""T4902""","=""L15916""",
Ti,1,"=""377.7157""","=""0.0006""","=""377.71575""","=""0.00009""","=""5""","=""""",,"=""15156.802""","=""41624.219""","=""3d3.(2G).4s""","=""a 3G""","=""4""","=""3d.4s2.4p""","=""s 3F*""","=""4""",,"=""""","=""L10989""",
Tc,1,"=""377.7274""","=""""","=""377.7273""","=""""","=""500""","=""""",,"=""16133.98""","=""42600.59""","=""4d5.5s2""","=""4G""","=""9/2""","=""4d6.(3G).5p""","=""2H*""","=""11/2""",,"=""""","=""L149""",
Th,2,"=""377.72861""","=""0.00006""","=""377.728649""","=""0.000010""","=""68""","=""""",,"=""19912.3404""","=""46378.8535""","=""5f.(2F*).6d2.(3F)""","=""4H*""","=""13/2""","=""5f.6d.(3H*).7p""","=""""","=""13/2""",,"=""""","=""L5951""",
Cr,1,"=""377.73179""","=""0.00010""","=""377.731761""","=""0.000020""","=""7""","=""""",,"=""20519.5515""","=""46985.8465""","=""3d5.(4G).4s""","=""a 5G""","=""6""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""5""",,"=""""","=""L14866""",
Fe,1,"=""377.73301""","=""0.00021""","=""377.733075""","=""0.000020""","=""468""","=""""",,"=""27666.348""","=""54132.551""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d7.(4F).4d""","=""h 5D""","=""1""",,"=""""","=""L11631""",
W,2,"=""377.73405""","=""""","=""377.73402""","=""0.00020""","=""7""","=""""",,"=""18990.929""","=""45457.066""","=""""","=""""","=""3/2""","=""5d4.(5D).6p""","=""6F*""","=""1/2""",,"=""""","=""L11762""",
Th,2,"=""377.73807""","=""0.00006""","=""377.738126""","=""0.000023""","=""67""","=""""",,"=""25188.1211""","=""51653.9702""","=""5f.(2F*).6d2.(3P)""","=""*""","=""3/2""","=""5f2.(3P).6d""","=""""","=""1/2""",,"=""""","=""L5951""",
Th,1,"=""377.74166""","=""0.00003""","=""377.741655""","=""0.000009""","=""500""","=""""",,"=""7502.287636""","=""33967.8895""","=""6d3.(4F).7s""","=""5F""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
O,2,"=""377.7421""","=""""","=""377.7420""","=""""","=""16""","=""2.25e+07""",B,"=""212161.881""","=""238627.46""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""",,"=""T6632""","=""L10621""",
Fe,1,"=""377.74492""","=""0.00004""","=""377.744907""","=""0.000020""","=""4790""","=""8.58e+05""",B,"=""20641.110""","=""47106.484""","=""3d6.4s2""","=""b 3F2""","=""4""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3H*""","=""4""",,"=""T4293""","=""L11631""",
V,1,"=""377.7491""","=""0.0002""","=""377.74903""","=""0.00009""","=""58000""","=""""",,"=""19189.283""","=""45654.368""","=""3d4.(3P2).4s""","=""b 2P""","=""3/2""","=""45654o""","=""2D*""","=""5/2""",,"=""""","=""L15916""",
Am,2,"=""377.750""","=""""","=""""","=""""","=""5000l""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3500""",
Cr,1,"=""377.7508""","=""0.0010""","=""377.7523""","=""0.0003""","=""3""","=""""",,"=""28636.9634""","=""55101.82""","=""3d5.(4D).4s""","=""a 3D""","=""3""","=""3d5.(2D1).4p""","=""v 3F*""","=""3""",,"=""""","=""L808""",
Ar,2,"=""377.75310""","=""0.00008""","=""377.753110""","=""0.000006""","=""5""","=""1.1e+06""",D,"=""159706.5337""","=""186171.3330""","=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).4d""","=""4P""","=""1/2""",,"=""T926""","=""L11520""",
Ru,1,"=""377.759""","=""""","=""377.7587+""","=""""","=""1500""","=""""",,"=""3105.49""","=""29569.90""","=""4d7.(a 4F).5s""","=""a 5F""","=""1""","=""4d7.(a 4F).5p""","=""z 5D*""","=""0""",,"=""""","=""L3475""",
Pr,2,"=""377.762""","=""""","=""""","=""""","=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""377.76261""","=""0.00014""","=""377.762792""","=""0.000005""","=""130""","=""""",,"=""8243.602091""","=""34707.7231""","=""5f.6d.7s2""","=""3F*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L3552""",
Cu,2,"=""377.76444""","=""0.00010""","=""377.76455""","=""0.00003""","=""150""","=""""",,"=""120092.3828""","=""146556.381""","=""3d9.(2D<5/2>).5p""","=""2[3/2]*""","=""2""","=""3d9.(2D<5/2>).6d""","=""2[7/2]""","=""3""",,"=""""","=""L869c171""",
Hf,1,"=""377.7658""","=""0.0004""","=""377.765021""","=""0.000010""","=""74000""","=""2.00e+07""",B+,"=""0.0000""","=""26463.9649""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d.6s2.(a 2D).6p""","=""z 1P*""","=""1""",,"=""T5346""","=""L21976,L16323""",
Re,1,"=""377.766""","=""""","=""""","=""""","=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Mo,1,"=""377.7720""","=""""","=""377.77207+""","=""""","=""65""","=""1.66e+07""",B,"=""28241.014""","=""54704.485""","=""4d5.(2I).5s""","=""a 1I""","=""6""","=""""","=""92*""","=""5""",,"=""T5293""","=""L10250,L3475""",
Th,1,"=""377.77471""","=""0.00004""","=""377.774708""","=""0.000010""","=""110""","=""""",,"=""12847.96912""","=""39311.2554""","=""6d3.(4P).7s""","=""5P""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L5951""",
Hg,2,"=""377.7755""","=""0.0003""","=""377.7757""","=""0.0003""","=""900""","=""2.7e+06""",,"=""111971.464""","=""138434.682""","=""5d10.7p""","=""2P*""","=""3/2""","=""5d10.10s""","=""2S""","=""1/2""",,"=""T7226""","=""L11760""",
Ac,2,"=""377.7799""","=""0.0006""","=""377.7805""","=""0.0004""","=""480h""","=""5.2e+06""",E,"=""17737.032""","=""44199.914""","=""6d2""","=""3P""","=""0""","=""7s.7p""","=""1P*""","=""1""",,"=""T10463""","=""L7344""",
Th,2,"=""377.78218""","=""0.00006""","=""377.782152""","=""0.000019""","=""60""","=""""",,"=""22355.2063""","=""48817.9712""","=""5f.6d.(1P*).7s""","=""*""","=""1/2""","=""5f2.6d""","=""""","=""3/2""",,"=""""","=""L5951""",
Cr,1,"=""377.790""","=""0.002""","=""377.789967""","=""0.000019""","=""3""","=""""",,"=""20523.6290""","=""46985.8465""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""5""",,"=""""","=""L808""",
Cr,1,"=""377.792""","=""0.002""","=""377.793834""","=""0.000020""","=""8""","=""""",,"=""20523.8999""","=""46985.8465""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""5""",,"=""""","=""L808""",
Kr,2,"=""377.80464""","=""""","=""377.8099+""","=""""","=""500hl""","=""""",,"=""140117.228""","=""166578.05""","=""4s2.4p4.(3P).5p""","=""2D*""","=""5/2""","=""4s2.4p4.(3P).5d""","=""2F""","=""7/2""",,"=""""","=""L605""",
Kr,2,"=""377.80464""","=""""","=""377.8076+""","=""""","=""500hl""","=""""",,"=""136069.229""","=""162530.21""","=""4s2.4p4.(3P).5p""","=""4D*""","=""5/2""","=""4s2.4p4.(3P).5d""","=""4F""","=""7/2""",,"=""""","=""L605""",
Th,1,"=""377.80475""","=""0.00006""","=""377.804686""","=""0.000007""","=""86""","=""""",,"=""14032.085336""","=""40493.2719""","=""6d.7s2.7p""","=""3D*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L5951""",
Rh,1,"=""377.813""","=""""","=""377.8129""","=""""","=""380""","=""""",,"=""13520.69""","=""39981.30""","=""4d8.(1D).5s""","=""b 2D""","=""5/2""","=""""","=""9*""","=""5/2""",,"=""""","=""L3475""",
Sm,2,"=""377.814""","=""""","=""""","=""""","=""1100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
W,1,"=""377.8144""","=""""","=""377.8145""","=""0.0010""","=""10""","=""""",,"=""27849.80""","=""54310.30""","=""5d5.(2I).6s""","=""3I""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
Fe,1,"=""377.83144""","=""0.00011""","=""377.83145""","=""0.00003""","=""1660""","=""2.21e+06""",C+,"=""22838.323""","=""49297.635""","=""3d7.(4P).4s""","=""b 3P""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 3D*""","=""1""",,"=""T5720""","=""L11631""",
Mn,2,"=""377.8320""","=""0.0006""","=""377.8317""","=""0.0003""","=""200""","=""""",,"=""52653.327""","=""79112.62""","=""3d5.(2G).4s""","=""b 1G""","=""4""","=""3d5.(2I).4p""","=""z 1H*""","=""5""",,"=""""","=""L562""",
V,2,"=""377.83431""","=""0.00004""","=""377.834345""","=""0.000020""","=""8800""","=""6.5e+06""",B,"=""13542.6461""","=""40001.7556""","=""3d4""","=""b 3F2""","=""3""","=""3d3.(4F).4p""","=""z 3F*""","=""2""",,"=""T9616n""","=""L18516""",
Sc,2,"=""377.8345""","=""""","=""377.8343""","=""""","=""0""","=""""",,"=""64705.89""","=""91165.0""","=""3p6.3d.4d""","=""3P""","=""2""","=""3p6.3d.6f""","=""3P*""","=""2""",,"=""""","=""L5141""",
Fe,1,"=""377.85088""","=""0.00004""","=""377.850889""","=""0.000020""","=""3800""","=""1.17e+07""",C+,"=""26224.969""","=""52682.920""","=""3d7.(2D2).4s""","=""a 3D""","=""3""","=""3d7.(2D2).4p""","=""t 3D*""","=""2""",,"=""T5720""","=""L11631""",
W,1,"=""377.8550""","=""""","=""377.8550""","=""0.0010""","=""20""","=""""",,"=""19648.54""","=""46106.20""","=""5d5.(4G).6s""","=""5G""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
V,1,"=""377.86770""","=""0.00012""","=""377.86771""","=""0.00009""","=""1500000""","=""4.66e+06""",B+,"=""2311.369""","=""28768.142""","=""3d4.(5D).4s""","=""a 6D""","=""7/2""","=""3d3.(4P).4s.4p.(3P*)""","=""x 6D*""","=""9/2""",,"=""T9399""","=""L15916""",
W,1,"=""377.8686""","=""""","=""377.8683""","=""0.0010""","=""30""","=""""",,"=""18280.48""","=""44737.21""","=""5d5.(6S).6s""","=""5S""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
Fe,1,"=""377.86966""","=""0.00011""","=""377.869613""","=""0.000020""","=""1320""","=""9.10e+05""",C,"=""17726.988""","=""44183.628""","=""3d7.(4P).4s""","=""a 5P""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""2""",,"=""T5720""","=""L11631""",
W,2,"=""377.87017""","=""""","=""377.8708""","=""0.0014""","=""11w""","=""""",,"=""30632.927""","=""57089.482""","=""""","=""""","=""9/2""","=""""","=""""","=""9/2""",,"=""""","=""L11762""",
Th,2,"=""377.87466""","=""0.00006""","=""377.874580""","=""0.000007""","=""71""","=""""",,"=""15453.03596""","=""41909.3282""","=""5f.6d.(3D*).7s""","=""4D*""","=""7/2""","=""5f.6d.(3F*).7p""","=""""","=""9/2""",,"=""""","=""L5951""",
Xe,2,"=""377.878""","=""""","=""377.8735+""","=""""","=""1-""","=""""",,"=""121628.82""","=""148085.19""","=""5s2.5p4.(3P<0>).6p""","=""2[1]*""","=""3/2""","=""5s2.5p4.(3P<1>).6d""","=""2[1]""","=""3/2""",,"=""""","=""L6925""",
Sn,3,"=""377.880""","=""0.024""","=""377.860""","=""0.010""","=""242""","=""""",,"=""160216.8""","=""186674.1""","=""4d10.5s.6p""","=""3P*""","=""1""","=""4d10.5s.7s""","=""3S""","=""1""",,"=""""","=""L17864""",
S,3,"=""377.8868""","=""""","=""377.8846""","=""""","=""13""","=""6.62e+06""",B,"=""146737.55""","=""173193.14""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.4p""","=""3P""","=""2""",,"=""T7942c84""","=""L11011""",
Th,1,"=""377.89158""","=""0.00006""","=""377.891441""","=""0.000016""","=""73""","=""""",,"=""13945.307389""","=""40400.4192""","=""6d.7s2.7p""","=""3F*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L5951""",
Th,1,"=""377.89871""","=""0.00014""","=""377.898983""","=""0.000007""","=""540""","=""""",,"=""7280.123222""","=""33734.7071""","=""6d2.7s2""","=""""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L3552""",
Ti,1,"=""377.90337""","=""0.00017""","=""377.90317""","=""0.00013""","=""8""","=""""",,"=""19322.984""","=""45777.275""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d2.4s.(2F).4d""","=""3F""","=""2""",,"=""""","=""L10989""",
Cu,1,"=""377.9067""","=""0.0021""","=""377.9079""","=""0.0013""","=""2h""","=""""",,"=""44544.16""","=""70998.12""","=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""3/2""","=""3d9.4s.(3D).4d""","=""4S""","=""3/2""",,"=""""","=""L772""",
N,3,"=""""","=""""","=""377.916""","=""""","=""""","=""2.35e+06""",B,"=""309753.5""","=""336206.9""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""",,"=""T7192LS""","=""""",
W,2,"=""377.91657""","=""""","=""377.9165""","=""0.0004""","=""3""","=""""",,"=""34447.663""","=""60901.023""","=""""","=""""","=""5/2""","=""""","=""""","=""5/2""",,"=""""","=""L11762""",
Pt,2,"=""377.91922""","=""0.00020""","=""377.91932""","=""0.00010""","=""40""","=""""",,"=""74745.974""","=""101199.134""","=""5d8.6p""","=""74745*""","=""7/2""","=""5d8.(3P).7s""","=""(2,1/2)""","=""5/2""",,"=""""","=""L10146""",
Fe,1,"=""377.92024""","=""0.00021""","=""377.920096""","=""0.000020""","=""437""","=""""",,"=""22249.429""","=""48702.535""","=""3d7.(2G).4s""","=""a 3G""","=""3""","=""3d6.(3H).4s.4p.(3P*)""","=""y 1G*""","=""4""",,"=""""","=""L11631""",
Cl,3,"=""377.935""","=""""","=""""","=""""","=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L495""",
Tc,1,"=""377.9373""","=""""","=""377.9378""","=""""","=""2000""","=""""",,"=""4178.75""","=""30630.62""","=""4d6.(5D).5s""","=""6D""","=""1/2""","=""4d6.(5D).5p""","=""6F*""","=""3/2""",,"=""""","=""L149""",
Fe,1,"=""377.94157""","=""0.00011""","=""377.941584""","=""0.000020""","=""1950""","=""6.76e+05""",C+,"=""20641.110""","=""47092.712""","=""3d6.4s2""","=""b 3F2""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3F*""","=""3""",,"=""T5720""","=""L11631""",
