element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
C,1,"=""371.2035""","=""0.0005""","=""3300""","=""""",,"=""61981.83211""","=""88913.57""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.(2P*<3/2>).8p""","=""2[5/2]""","=""2""",,"=""""","=""L17684""",
Sc,1,"=""371.2111""","=""0.0007""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4189c12""",
Th,1,"=""371.21871""","=""0.00014""","=""70""","=""""",,"=""14204.26476""","=""41134.9106""","=""6d3.(2G).7s""","=""""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L3552""",
W,1,"=""371.2202""","=""""","=""3""","=""""",,"=""29643.06""","=""56573.54""","=""5d4.6s.(6D).6p""","=""7F*""","=""6""","=""""","=""""","=""5""",,"=""""","=""L153""",
W,2,"=""371.22089""","=""""","=""5""","=""""",,"=""22194.031""","=""49124.508""","=""""","=""""","=""7/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
Hf,1,"=""371.2220""","=""0.0010""","=""170""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
Tc,1,"=""371.2256""","=""""","=""1000""","=""""",,"=""3700.54""","=""30630.62""","=""4d6.(5D).5s""","=""6D""","=""5/2""","=""4d6.(5D).5p""","=""6F*""","=""3/2""",,"=""""","=""L149""",
Th,1,"=""371.22990""","=""0.00014""","=""110""","=""""",,"=""11877.839132""","=""38807.6687""","=""6d.7s2.7p""","=""3D*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L3552""",
Th,1,"=""371.23719""","=""0.00006""","=""62""","=""""",,"=""15166.900593""","=""42096.1941""","=""6d2.7s.7p""","=""5G*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L5951""",
Er,2,"=""371.239""","=""""","=""520""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Kr,2,"=""371.248""","=""""","=""1h""","=""""",,"=""140117.228""","=""167045.38""","=""4s2.4p4.(3P).5p""","=""2D*""","=""5/2""","=""4s2.4p4.(3P).5d""","=""4P""","=""3/2""",,"=""""","=""L7386""",
Sc,1,"=""371.2512""","=""0.0007""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4189c12""",
Hf,1,"=""371.2520""","=""0.0010""","=""42""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
Cr,1,"=""371.252""","=""0.002""","=""2""","=""""",,"=""31364.2327""","=""58292.54""","=""3d5.(4F).4s""","=""a 5F""","=""3""","=""3d4.4s.5p""","=""r 5D*""","=""4""",,"=""""","=""L808""",
Th,2,"=""371.25310""","=""0.00004""","=""190""","=""""",,"=""17460.62698""","=""44388.7675""","=""5f.6d.(3P*).7s""","=""4P*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",,"=""""","=""L5951""",
V,2,"=""371.2532""","=""0.0007""","=""1200""","=""2.3e+06""",D+,"=""22273.6366""","=""49201.7171""","=""3d3.(2P).4s""","=""a 1P""","=""1""","=""3d3.(2G).4p""","=""y 3F*""","=""2""",,"=""T9770""","=""L10089c179""",
Th,1,"=""371.25590""","=""0.00003""","=""430""","=""""",,"=""7502.287636""","=""34430.2243""","=""6d3.(4F).7s""","=""5F""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Th,1,"=""371.26116""","=""0.00004""","=""93""","=""""",,"=""14032.085336""","=""40959.6419""","=""6d.7s2.7p""","=""3D*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L5951""",
