element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Eu,1,"=""578.369""","=""""","=""578.368+""","=""""","=""180""","=""""",,"=""14563.57""","=""31848.81""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 10P""","=""9/2""","=""4f7.(8S*).5d2.(3P)""","=""e 10P*""","=""7/2""",,"=""""","=""L7586,L3475""",
Th,2,"=""578.3757""","=""0.0005""","=""578.376328""","=""0.000024""","=""11""","=""""",,"=""26488.64704""","=""43773.6347""","=""5f.7s.(3F*).7p""","=""""","=""5/2""","=""6d2.(1G).7p""","=""*""","=""7/2""",,"=""""","=""L2372""",
O,2,"=""578.3788""","=""""","=""578.3789""","=""""","=""3w*""","=""""",,"=""238627.46""","=""255912.37""","=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).4f D""","=""2[1]*""","=""1/2""",,"=""""","=""L10621""",
O,2,"=""578.3788""","=""""","=""578.3806""","=""""","=""3w*""","=""""",,"=""238627.46""","=""255912.32""","=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).4f D""","=""2[1]*""","=""3/2""",,"=""""","=""L10621""",
Th,1,"=""578.3839""","=""0.0003""","=""578.383188""","=""0.000024""","=""25""","=""""",,"=""21890.13254""","=""39174.9152""","=""""","=""*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L12239""",
Cr,1,"=""578.38498""","=""0.00003""","=""578.385010""","=""0.000024""","=""100""","=""2.02e+07""",B,"=""26796.2691""","=""44080.9973""","=""3d5.(6S).4p""","=""z 5P*""","=""2""","=""3d5.(6S).4d""","=""e 5D""","=""2""",,"=""u10""","=""L14866""",
Kr,1,"=""578.38938""","=""""","=""578.38937+""","=""""","=""10""","=""2.94e+05""",D+,"=""92294.4012""","=""109578.9990""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""3""",,"=""T3774n,T3599,u41""","=""L11281""",
Fe,1,"=""578.38943""","=""0.00010""","=""578.38933""","=""0.00005""","=""22""","=""""",,"=""26479.381""","=""43763.980""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""1""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""1""",,"=""""","=""L11631""",
Cu,2,"=""578.3920""","=""0.0004""","=""578.39194""","=""0.00020""","=""6400""","=""""",,"=""123304.823""","=""140589.344""","=""3d9.(2D<3/2>).5p""","=""2[3/2]*""","=""1""","=""3d9.(2D<3/2>).5d""","=""2[1/2]""","=""0""",,"=""""","=""L869c171""",
Fe,1,"=""578.4034""","=""0.0003""","=""578.40329""","=""0.00005""","=""2""","=""""",,"=""33695.397""","=""50979.579""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""4""",,"=""""","=""L11631""",
