element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Th,1,"=""435.46601""","=""0.00019""","=""435.466367""","=""0.000013""","=""19""","=""""",,"=""16217.482038""","=""39174.9152""","=""6d.7s2.7p""","=""1D*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L3552""",
W,1,"=""435.472""","=""""","=""435.4723""","=""0.0015""","=""6""","=""""",,"=""29479.32""","=""52436.44""","=""5d4.6s2""","=""3F1""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
Cu,1,"=""435.474""","=""0.006""","=""435.468""","=""0.008""","=""10h""","=""""",,"=""42302.58""","=""65259.93""","=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""3/2""","=""3d9.4s.(3D).5s""","=""2D""","=""3/2""",,"=""""","=""L772""",
La,1,"=""435.480""","=""""","=""435.4793+""","=""""","=""60""","=""5.9e+07""",B+,"=""9183.797""","=""32140.55""","=""5d2.(1D).6s""","=""2D""","=""5/2""","=""""","=""*""","=""7/2""",,"=""T9460""","=""L3475""",
W,1,"=""435.490""","=""""","=""435.4884""","=""0.0015""","=""6""","=""""",,"=""27849.80""","=""50806.07""","=""5d5.(2I).6s""","=""3I""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
Pr,2,"=""435.491""","=""""","=""435.491+""","=""""","=""450""","=""""",,"=""7888.50""","=""30844.63""","=""4f2.(3H).5d.6s.(3D)?""","=""""","=""5""","=""4f2.(3H).5d.6p?""","=""5K*?""","=""5""",,"=""""","=""L3475""",
Kr,3,"=""435.495""","=""""","=""435.486+""","=""""","=""6""","=""""",,"=""170898.94""","=""193855.36""","=""4s2.4p3.(2D*).5s""","=""1D*""","=""2""","=""4s2.4p3.(2D*).5p""","=""3D""","=""2""",,"=""""","=""L7284""",
V,1,"=""435.49678""","=""0.00018""","=""435.49676""","=""0.00008""","=""530000""","=""8.6e+06""",B+,"=""15264.832""","=""38220.663""","=""3d3.4s2""","=""a 2H""","=""11/2""","=""3d4.(3H).4p""","=""x 2H*""","=""11/2""",,"=""T9399""","=""L15916""",
Th,1,"=""435.50124""","=""0.00006""","=""435.501257""","=""0.000023""","=""25""","=""""",,"=""25336.49797""","=""48292.0919""","=""""","=""*""","=""6""","=""""","=""""","=""7""",,"=""""","=""L5951""",
Ca,1,"=""435.508""","=""""","=""435.5079""","=""""","=""20""","=""1.9e+07""",D,"=""21849.634""","=""44804.878""","=""3p6.3d.4s""","=""1D""","=""2""","=""3p6.4s.5f""","=""1F*""","=""3""",,"=""T539n""","=""L6097""",
Th,2,"=""435.50837""","=""0.00006""","=""435.508211""","=""0.000025""","=""19""","=""""",,"=""28720.8355""","=""51676.0629""","=""6d.7s.(3D).7p""","=""*""","=""3/2""","=""5f.6d.(1P*).7p""","=""""","=""3/2""",,"=""""","=""L5951""",
Eu,2,"=""435.509""","=""""","=""""","=""""","=""240""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Rb,2,"=""435.5092""","=""0.0005""","=""435.5091""","=""0.0012""","=""""","=""""",,"=""184660.39""","=""207615.57""","=""4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""4p5.(2P*<3/2>).6f""","=""2[9/2]""","=""5""",,"=""""","=""L2590""",
Ta,1,"=""435.5145""","=""""","=""435.510+""","=""""","=""110""","=""""",,"=""22681.71""","=""45636.83""","=""5d3.6s.(5F).6p""","=""z 6G*""","=""9/2""","=""5d3.6s.(5F).7s""","=""e 6F""","=""9/2""",,"=""""","=""L7593,L3475""",
W,1,"=""435.5166""","=""""","=""435.5159""","=""0.0015""","=""40""","=""5.1e+05""",B,"=""12161.96""","=""35116.78""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""4""",,"=""T4976""","=""L153""",
Cu,3,"=""435.524""","=""""","=""""","=""""","=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2987""",
Cr,1,"=""435.528""","=""0.006""","=""435.52455""","=""0.00004""","=""4w""","=""""",,"=""24093.1182""","=""47047.4845""","=""3d4.4s2""","=""a 3P""","=""2""","=""3d4.(3H).4s.4p.(3P*)""","=""x 5G*""","=""2""",,"=""""","=""L808""",
Ti,1,"=""435.5283""","=""0.0002""","=""435.52818""","=""0.00011""","=""19""","=""""",,"=""16458.671""","=""39412.846""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""6""","=""3d3.(4F).5s""","=""f 5F""","=""5""",,"=""""","=""L10989""",
Th,2,"=""435.532044""","=""0.000021""","=""435.532053""","=""0.000008""","=""380""","=""""",,"=""8018.19281""","=""30972.1636""","=""6d2.(3P).7s""","=""4P""","=""3/2""","=""6d2.(3F).7p""","=""*""","=""5/2""",,"=""""","=""L5951""",
C,1,"=""435.5408""","=""0.0005""","=""435.5404""","=""0.0003""","=""4100""","=""""",,"=""61981.83211""","=""84935.362""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.5p""","=""3D""","=""1""",,"=""""","=""L17684""",
Kr,2,"=""435.54773""","=""""","=""435.5477+""","=""""","=""3000""","=""1.0e+08""",D,"=""112828.27""","=""135781.415""","=""4s2.4p4.(3P).5s""","=""4P""","=""5/2""","=""4s2.4p4.(3P).5p""","=""4D*""","=""7/2""",,"=""T3408""","=""L605""",
U,1,"=""435.574""","=""""","=""""","=""""","=""430w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
